Borough,2010 Census FIPS County Code,2010 DCP Borough Code,2010 Census Tract,t_pop_2010,,,,,,,
Queens,081,4,120300,"1,642",45.47,36.1,,,,,
Queens,081,4,120500,"3,024",49.97,60.5,,,,,
Queens,081,4,120700,"2,794",171.09,16.3,,,,,
Queens,081,4,121100,0,244.33,0.0,,,,,
Queens,081,4,121500,"4,101",155.55,26.4,,,,,
Queens,081,4,122300,"3,533",122.66,28.8,,,,,
Queens,081,4,122701,"10,910",174.13,62.7,,,,,
Queens,081,4,122702,"6,427",111.4,57.7,,,,,
Queens,081,4,124100,"3,897",123.27,31.6,,,,,
Queens,081,4,124700,"3,550",119.1,29.8,,,,,
Queens,081,4,125700,"3,203",82.01,39.1,,,,,
Queens,081,4,126500,"1,660",49.72,33.4,,,,,
Queens,081,4,126700,"4,057",192.32,21.1,,,,,
Queens,081,4,127700,"3,633",263.54,13.8,,,,,
Queens,081,4,128300,73,488.61,0.1,,,,,
Queens,081,4,129102,"3,341",248.44,13.4,,,,,
Queens,081,4,129103,"3,566",112.72,31.6,,,,,
Queens,081,4,129104,"4,102",172.9,23.7,,,,,
Queens,081,4,130100,"3,791",173.19,21.9,,,,,
Queens,081,4,133300,"3,679",171.83,21.4,,,,,
Queens,081,4,133900,"1,302",55.9,23.3,,,,,
Queens,081,4,134100,"3,259",145.74,22.4,,,,,
Queens,081,4,134700,"9,572",262.9,36.4,,,,,
Queens,081,4,136700,"5,879",190.32,30.9,,,,,
Queens,081,4,137700,"6,606",185.03,35.7,,,,,
Queens,081,4,138501,"4,743",245.29,19.3,,,,,
Queens,081,4,138502,72,571.52,0.1,,,,,
Queens,081,4,139900,"1,744",89.76,19.4,,,,,
Queens,081,4,140300,"2,302",93.87,24.5,,,,,
Queens,081,4,140901,914,59.37,15.4,,,,,
Queens,081,4,140902,"2,603",135.16,19.3,,,,,
Queens,081,4,141700,"4,475",221.61,20.2,,,,,
Queens,081,4,142900,"3,624",131.57,27.5,,,,,
Queens,081,4,143500,"2,199",87.32,25.2,,,,,
Queens,081,4,144100,"2,926",83.59,35.0,,,,,
Queens,081,4,144700,"2,927",101.37,28.9,,,,,
Queens,081,4,145101,"1,360",62.26,21.8,,,,,
Queens,081,4,145102,"2,468",86.59,28.5,,,,,
Queens,081,4,145900,"2,772",91.5,30.3,,,,,
Queens,081,4,146300,"3,000",80.58,37.2,,,,,
Queens,081,4,146700,"2,736",87.31,31.3,,,,,
Queens,081,4,147100,"3,341",103.64,32.2,,,,,
Queens,081,4,147900,"4,241",227.09,18.7,,,,,
Queens,081,4,148300,"2,863",333.78,8.6,,,,,
Queens,081,4,150701,"2,930",216.63,13.5,,,,,
Queens,081,4,150702,"3,178",213.51,14.9,,,,,
Queens,081,4,152901,"6,401",347.36,18.4,,,,,
Queens,081,4,152902,"5,126",256.79,20.0,,,,,
Queens,081,4,155101,"1,806",116.78,15.5,,,,,
Queens,081,4,155102,"8,185",354.87,23.1,,,,,
Queens,081,4,156700,"1,790",351,5.1,,,,,
Queens,081,4,157101,"7,216",307.23,23.5,,,,,
Queens,081,4,157102,"1,996",77.19,25.9,,,,,
Queens,081,4,157901,"4,800",227.35,21.1,,,,,
Queens,081,4,157902,"3,836",178.58,21.5,,,,,
Queens,081,4,157903,"3,944",169.89,23.2,,,,,
Queens,081,4,161700,"4,297",174.51,24.6,,,,,
Queens,081,4,162100,"6,197",175.72,35.3,,,,,
Queens,081,4,990100,0,0,-,,,,,
Staten Island,085,5,000300,"1,927",144.34,13.4,,,,,
Staten Island,085,5,000600,"2,408",258.66,9.3,,,,,
Staten Island,085,5,000700,"4,915",156.24,31.5,,,,,
Staten Island,085,5,000800,"5,583",197.47,28.3,,,,,
Staten Island,085,5,000900,"2,112",57.3,36.9,,,,,
Staten Island,085,5,001100,"3,987",80.33,49.6,,,,,
Staten Island,085,5,001700,"1,788",75.01,23.8,,,,,
Staten Island,085,5,001800,731,257.97,2.8,,,,,
Staten Island,085,5,002001,"2,504",121.45,20.6,,,,,
Staten Island,085,5,002002,"3,258",196.58,16.6,,,,,
Staten Island,085,5,002100,"4,236",308.09,13.7,,,,,
Staten Island,085,5,002700,"2,217",61.86,35.8,,,,,
Staten Island,085,5,002900,"5,207",130.2,40.0,,,,,
Staten Island,085,5,003300,"3,402",211.1,16.1,,,,,
Staten Island,085,5,003600,"2,510",101.44,24.7,,,,,
Staten Island,085,5,003900,"2,197",143.95,15.3,,,,,
Staten Island,085,5,004000,"12,998",293.06,44.4,,,,,
Staten Island,085,5,004700,"3,863",222.18,17.4,,,,,
Staten Island,085,5,005000,"3,847",193.73,19.9,,,,,
Staten Island,085,5,005900,"2,635",342.64,7.7,,,,,
Staten Island,085,5,006400,"3,550",175.32,20.2,,,,,
Staten Island,085,5,006700,"2,758",234.94,11.7,,,,,
Staten Island,085,5,007000,"8,525",674.54,12.6,,,,,
Staten Island,085,5,007400,"4,693",163.02,28.8,,,,,
Staten Island,085,5,007500,"3,914",118.77,33.0,,,,,
Staten Island,085,5,007700,"1,535",61.41,25.0,,,,,
Staten Island,085,5,008100,"4,301",202.76,21.2,,,,,
Staten Island,085,5,008900,0,0,-,,,,,
Staten Island,085,5,009601,"4,024",191.8,21.0,,,,,
Staten Island,085,5,009602,"3,461",152.64,22.7,,,,,
Staten Island,085,5,009700,"3,925",284.28,13.8,,,,,
Staten Island,085,5,010500,"5,153",201.81,25.5,,,,,
Staten Island,085,5,011201,"5,758",396.74,14.5,,,,,
Staten Island,085,5,011202,"6,428",489.88,13.1,,,,,
Staten Island,085,5,011401,"3,067",130.2,23.6,,,,,
Staten Island,085,5,011402,"3,450",143.14,24.1,,,,,
Staten Island,085,5,012100,"3,065",183.33,16.7,,,,,
Staten Island,085,5,012200,"3,813",204.56,18.6,,,,,
Staten Island,085,5,012500,"2,939",113.11,26.0,,,,,
Staten Island,085,5,012804,"4,259",221.69,19.2,,,,,
Staten Island,085,5,012805,"3,158",248.91,12.7,,,,,
Staten Island,085,5,012806,"5,955",326.05,18.3,,,,,
Staten Island,085,5,013201,"1,558",116.04,13.4,,,,,
Staten Island,085,5,013203,"5,433",253.95,21.4,,,,,
Staten Island,085,5,013204,"4,843",258.27,18.8,,,,,
Staten Island,085,5,013301,"1,633",16.64,98.1,,,,,
Staten Island,085,5,013302,"3,587",209.49,17.1,,,,,
Staten Island,085,5,013400,"3,946",210.21,18.8,,,,,
Staten Island,085,5,013800,"6,535",347.78,18.8,,,,,
Staten Island,085,5,014100,"2,690",77.16,34.9,,,,,
Staten Island,085,5,014604,"6,422",278.98,23.0,,,,,
Staten Island,085,5,014605,"3,836",216.42,17.7,,,,,
Staten Island,085,5,014606,"6,372",436.94,14.6,,,,,
Staten Island,085,5,014607,"4,552",167.72,27.1,,,,,
